case_id,case_name,seed,directional_probability,source_count,directional_count,omnidirectional_count,confirmed_directional_count,cleared_count,success,total_time_s,seconds_per_source,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,survey_time_s,localization_time_s,measurement_count,clear_attempt_count,failed_clear_count,survey_station_count,grid_fallback_count,probe_no_signal_count,directional_block_count,range_no_signal_count,skipped_impossible_remeasure_count,survey_remeasure_count,survey_inserted_clear_count,survey_localized_skip_count,finish_shared_remeasure_count,directional_constraint_count,directional_probe_reorder_count
70,random seed=2007525812,2007525812,0.5,10,5,5,0,10,True,5770.664544378797,577.0664544378797,4127.6645443787975,1345.0,248.0,50.0,5770.664544378797,0.0,269.0,10.0,0.0,21,0,0,6,32,12,24.0,10.0,27.0,0.0,0.0,0.0
71,random seed=2007525813,2007525813,0.5,14,5,9,1,14,True,6392.529039107799,456.6092170791285,4918.5290391078,1175.0,220.0,79.0,5743.190967063184,649.3380720446148,235.0,17.0,3.0,21,0,0,7,70,20,32.0,13.0,28.0,0.0,2.0,1.0
72,random seed=2007525814,2007525814,0.5,12,9,3,2,12,True,6598.873066376785,549.906088864732,5107.601348321117,1165.0,215.0,61.0,5890.40155659999,708.4715097767948,233.0,13.0,2.0,21,1,0,18,21,24,27.0,11.0,29.0,0.0,2.0,0.0
73,random seed=2007525815,2007525815,0.5,10,4,6,0,10,True,5740.023623784732,574.0023623784732,3986.480944013075,1405.0,262.0,51.0,5740.023623784732,0.0,281.0,11.0,2.0,21,1,0,4,46,9,16.0,10.0,29.0,0.0,0.0,0.0
74,random seed=2007525816,2007525816,0.5,13,4,9,1,13,True,6022.448778139871,463.26529062614395,4493.157747032384,1190.0,220.0,69.0,5639.466437680232,382.9823404596391,238.0,15.0,3.0,21,1,0,12,49,9,24.0,11.0,44.0,0.0,1.0,0.0
75,random seed=2007525817,2007525817,0.5,13,7,6,4,13,True,5485.694210162709,421.97647770482376,4185.69421016271,1045.0,190.0,65.0,5485.694210162709,0.0,209.0,13.0,0.0,21,0,0,15,19,4,30.0,13.0,29.0,0.0,5.0,0.0
76,random seed=2007525818,2007525818,0.5,13,3,10,2,13,True,5818.070707177074,447.5439005520826,4369.070707177076,1155.0,214.0,80.0,5622.302500784418,195.76820639265588,231.0,18.0,5.0,21,0,0,7,45,24,31.0,12.0,40.0,0.0,2.0,0.0
77,random seed=2007525819,2007525819,0.5,11,6,5,2,11,True,6119.053230729321,556.2775664299382,4503.053230729322,1315.0,243.0,58.0,6119.053230729321,0.0,263.0,12.0,1.0,21,0,0,11,39,13,23.0,11.0,25.0,0.0,2.0,0.0
78,random seed=2007525820,2007525820,0.5,15,9,6,5,15,True,6226.488156586071,415.09921043907144,5026.488156586072,950.0,172.0,78.0,6226.488156586071,0.0,190.0,16.0,1.0,21,0,0,16,37,16,41.0,15.0,39.0,0.0,6.0,0.0
79,random seed=2007525821,2007525821,0.5,13,4,9,0,13,True,5500.793951994835,423.137996307295,4146.793951994836,1085.0,198.0,71.0,5500.793951994835,0.0,217.0,15.0,2.0,21,0,0,1,40,4,17.0,13.0,47.0,0.0,0.0,0.0
